流水序,教育部字號,Unicode,常用字
00001,A00001,4e00,一
00002,A00002,4e01,丁
00003,A00003,4e03,七
00004,A00004,4e09,三
00005,A00005,4e0b,下
00006,A00006,4e08,丈
00007,A00007,4e0a,上
00008,A00008,4e11,丑
00009,A00009,4e10,丐
00010,A00010,4e0d,不
00011,A00011,4e19,丙
00012,A00012,4e16,世
00013,A00013,4e15,丕
00014,A00014,4e14,且
00015,A00015,4e18,丘
00016,A00016,4e1e,丞
00017,A00017,4e1f,丟
00018,A00018,4e26,並
00019,A00019,4e2b,丫
00020,A00020,4e2d,中
00021,A00021,4e32,串
00022,A00022,4e38,丸
00023,A00023,51e1,凡
00024,A00024,4e39,丹
00025,A00025,4e3b,主
00026,A00026,4e43,乃
00027,A00027,4e45,久
00028,A00028,4e48,么
00029,A00029,4e4b,之
00030,A00030,5c39,尹
00031,A00031,4e4d,乍
00032,A00032,4e4f,乏
00033,A00033,4e4e,乎
00034,A00034,4e52,乒
00035,A00035,4e53,乓
00036,A00036,4e56,乖
00037,A00037,4e58,乘
00038,A00038,4e59,乙
00039,A00039,4e5d,九
00040,A00040,4e5f,也
00041,A00041,4e5e,乞
00042,A00042,4e69,乩
00043,A00043,4e73,乳
00044,A00044,4e7e,乾
00045,A00045,4e82,亂
00046,A00046,4e86,了
00047,A00047,4e88,予
00048,A00048,4e8b,事
00049,A00049,4e8c,二
00050,A00050,4e8e,于
00051,A00051,4e91,云
00052,A00052,4e95,井
00053,A00053,4e92,互
00054,A00054,4e94,五
00055,A00055,4e99,亙
00056,A00056,4e9b,些
00057,A00057,4e9e,亞
00058,A00058,4e9f,亟
00059,A00059,4ea1,亡
00060,A00060,4ea4,交
00061,A00061,4ea6,亦
00062,A00062,4ea5,亥
00063,A00063,4ea8,亨
00064,A00064,4eab,享
00065,A00065,4eac,京
00066,A00066,4ead,亭
00067,A00067,4eae,亮
00068,A00068,4eba,人
00069,A00069,4ec1,仁
00070,A00070,4ec0,什
00071,A00071,4ec3,仃
00072,A00072,4ec6,仆
00073,A00073,4ec7,仇
00074,A00074,4ecd,仍
00075,A00075,4eca,今
00076,A00076,4ecb,介
00077,A00077,4ec4,仄
00078,A00078,4ee5,以
00079,A00079,4ed8,付
00080,A00080,4ed4,仔
00081,A00081,4ed5,仕
00082,A00082,4ed6,他
00083,A00083,4ed7,仗
00084,A00084,4ee3,代
00085,A00085,4ee4,令
00086,A00086,4ed9,仙
00087,A00087,4ede,仞
00088,A00088,4eff,仿
00089,A00089,4f09,伉
00090,A00090,4f19,伙
00091,A00091,4f0a,伊
00092,A00092,4f15,伕
00093,A00093,4f0d,伍
00094,A00094,4f10,伐
00095,A00095,4f11,休
00096,A00096,4f0f,伏
00097,A00097,4ef2,仲
00098,A00098,4ef6,件
00099,A00099,4efb,任
00100,A00100,4ef0,仰
00101,A00101,4ef3,仳
00102,A00102,4efd,份
00103,A00103,4f01,企
00104,A00104,4f4d,位
00105,A00105,4f4f,住
00106,A00106,4f47,佇
00107,A00107,4f57,佗
00108,A00108,4f5e,佞
00109,A00109,4f34,伴
00110,A00110,4f5b,佛
00111,A00111,4f55,何
00112,A00112,4f30,估
00113,A00113,4f50,佐
00114,A00114,4f51,佑
00115,A00115,4f3d,伽
00116,A00116,4f3a,伺
00117,A00117,4f38,伸
00118,A00118,4f43,佃
00119,A00119,4f54,佔
00120,A00120,4f3c,似
00121,A00121,4f46,但
00122,A00122,4f63,佣
00123,A00123,4f5c,作
00124,A00124,4f60,你
00125,A00125,4f2f,伯
00126,A00126,4f4e,低
00127,A00127,4f36,伶
00128,A00128,4f59,余
00129,A00129,4f5d,佝
00130,A00130,4f6f,佯
00131,A00131,4f9d,依
00132,A00132,4f8d,侍
00133,A00133,4f73,佳
00134,A00134,4f7f,使
00135,A00135,4f6c,佬
00136,A00136,4f9b,供
00137,A00137,4f8b,例
00138,A00138,4f86,來
00139,A00139,4f83,侃
00140,A00140,4f70,佰
00141,A00141,4f75,併
00142,A00142,4f88,侈
00143,A00143,4f69,佩
00144,A00144,4f7b,佻
00145,A00145,4f96,侖
00146,A00146,4f7e,佾
00147,A00147,4f8f,侏
00148,A00148,4fe1,信
00149,A00149,4fb5,侵
00150,A00150,4faf,侯
00151,A00151,4fbf,便
00152,A00152,4fe0,俠
00153,A00153,4fd1,俑
00154,A00154,4fcf,俏
00155,A00155,4fdd,保
00156,A00156,4fc3,促
00157,A00157,4fb6,侶
00158,A00158,4fd8,俘
00159,A00159,4fdf,俟
00160,A00160,4fca,俊
00161,A00161,4fd7,俗
00162,A00162,4fae,侮
00163,A00163,4fd0,俐
00164,A00164,4fc4,俄
00165,A00165,4fc2,係
00166,A00166,4fda,俚
00167,A00167,4fce,俎
00168,A00168,4fde,俞
00169,A00169,500c,倌
00170,A00170,500d,倍
00171,A00171,5023,倣
00172,A00172,4fef,俯
00173,A00173,5026,倦
00174,A00174,5025,倥
00175,A00175,4ff8,俸
00176,A00176,5029,倩
00177,A00177,5016,倖
00178,A00178,5006,倆
00179,A00179,503c,值
00180,A00180,501f,借
00181,A00181,501a,倚
00182,A00182,5012,倒
00183,A00183,5011,們
00184,A00184,4ffa,俺
00185,A00185,5000,倀
00186,A00186,5014,倔
00187,A00187,5028,倨
00188,A00188,4ff1,俱
00189,A00189,5021,倡
00190,A00190,500b,個
00191,A00191,5019,候
00192,A00192,5018,倘
00193,A00193,4ff3,俳
00194,A00194,4fee,修
00195,A00195,502d,倭
00196,A00196,502a,倪
00197,A00197,4ffe,俾
00198,A00198,502b,倫
00199,A00199,5009,倉
00200,A00200,507a,偺
00201,A00201,507d,偽
00202,A00202,505c,停
00203,A00203,5047,假
00204,A00204,5043,偃
