U+4E00	一
U+4E01	丁
U+4E03	七
U+4E09	三
U+4E0B	下
U+4E0A	上
U+4E08	丈
U+4E11	丑
U+4E10	丐
U+4E0D	不
U+4E15	丕
U+4E19	丙
U+4E16	世
U+4E14	且
U+4E18	丘
U+4E1E	丞
U+4E1F,U+4E22	丟丢
U+4E26	並
U+4E2B	丫
U+4E2D	中
U+4E32	串
U+4E38	丸
U+51E1	凡
U+4E39	丹
U+4E3B	主
U+4E43	乃
U+4E45	久
U+4E4B	之
U+5C39	尹
U+4E4D	乍
U+4E4F	乏
U+4E4E	乎
U+4E52	乒
U+4E53	乓
U+4E56	乖
U+4E58	乘
U+4E59	乙
U+4E5D	九
U+4E5F	也
U+4E5E	乞
U+4E69	乩
U+4E73	乳
U+4E7E	乾
U+4E82	亂
U+4E86	了
U+4E88	予
U+4E8B	事
U+4E8C	二
U+4E8E	于
U+4E91	云
U+4E95	井
U+4E92	互
U+4E94	五
U+4E99	亙
U+4E9B	些
U+4E9E	亞
U+4E9F	亟
U+4EA1	亡
U+4EA4	交
U+4EA6	亦
U+4EA5	亥
U+4EA8	亨
U+4EAB	享
U+4EAC	京
U+4EAD	亭
U+4EAE	亮
U+4EBA	人
U+4EC1	仁
U+4EC0	什
U+4EC3	仃
U+4ECA	今
U+4EC4	仄
U+4EC6	仆
U+4EC7	仇
U+4ECD	仍
U+4ECB	介
U+4ED8	付
U+4ED4	仔
U+4ED5	仕
U+4ED6	他
U+4ED7	仗
U+4EE3	代
U+4EE4	令
U+4EDE	仞
U+4EE5	以
U+4ED9	仙
U+4EFF	仿
U+4F09	伉
U+4F19	伙
U+4F0A	伊
U+4F15	伕
U+4F0D	伍
U+4F10	伐
U+4F11	休
U+4F0F	伏
U+4EFB,U+4EFC	任仼
U+4EF3	仳
U+4EF2	仲
U+4F01	企
U+4EF6	件
U+4EF0	仰
U+4EFD	份
U+4F4D	位
U+4F4F	住
U+4F47	佇
U+4F57	佗
U+4F34	伴
U+4F5E	佞
U+4F5B	佛
U+4F55	何
U+4F30	估
U+4F50	佐
U+4F51	佑
U+4F48	佈
U+4F3D	伽
U+4F3A	伺
U+4F38	伸
U+4F43	佃
U+4F54	佔
U+4F3C	似
U+4F46	但
U+4F63	佣
U+4F5C	作
U+4F60	你
U+4F2F	伯
U+4F4E	低
U+4F36	伶
U+4F59	余
U+4F5D	佝
U+4F6F	佯
U+4F9D	依
U+4F75	併
U+4F8D	侍
U+4F73	佳
U+4F7F	使
U+4F6C	佬
U+4F9B	供
U+4F8B	例
U+4F86	來
U+4F70	佰
U+4F83	侃
U+4F88	侈
U+4F69	佩
U+4F7B	佻
U+4F96	侖
U+4F8F	侏
U+4FE1	信
U+4FB5	侵
U+4FAF	侯
U+4FBF	便
U+4FE0	俠
U+4FD1	俑
U+4FCF	俏
U+4FDD	保
U+4FC3	促
U+4FB6	侶
U+4FDA	俚
U+4FD8	俘
U+4FDF	俟
U+4FCA	俊
U+4FD7	俗
U+4FAE	侮
U+4FD0	俐
U+4FC4	俄
U+4FC2	係
U+4FCE	俎
U+4FDE	俞
U+500C	倌
U+500D	倍
U+5023	倣
U+4FEF	俯
U+5026	倦
U+5025	倥
U+4FF8	俸
U+5029	倩
U+5016	倖
U+5006	倆
U+503C	值
U+501F	借
U+501A	倚
U+5012	倒
U+5011	們
U+4FFA	俺
U+5000	倀
U+5014	倔
U+5028	倨
U+5036	倶
U+5021	倡
U+500B	個
U+5019	候
U+5018	倘
U+4FF3	俳
U+4FEE	修
U+502D	倭
U+502A	倪
U+4FFE	俾
U+502B	倫
U+5009	倉
U+507D	偽
U+505C	停
U+504F	偏
U+5047	假
U+5043	偃
U+504C	偌
U+505A	做
U+5049	偉
U+5065	健
U+5076	偶
U+504E	偎
U+5055	偕
U+5075	偵
U+5074	側
U+500F	倏
U+5077	偷
U+50A2	傢
U+508D	傍
U+5085	傅
U+5099	備
U+5091	傑
U+5080	傀
U+5096	傖
U+5098	傘
U+50AD	傭
U+50B5	債
U+50B2	傲
U+50B3	傳
U+50C5	僅
U+50BE	傾
U+50AC	催
U+50B7	傷
U+50BB	傻
U+50E7	僧
U+50EE	僮
U+50F1	僱
U+50E5	僥
U+50ED	僭
U+50D6	僖
U+50DA	僚
U+50D5	僕
U+50CF	像
U+50D1	僑
U+5104	億
U+5100	儀
U+50FB	僻
U+50F5	僵
U+50F9	價
U+5102	儂
U+5108	儈
U+5109	儉
U+5110	儐
U+5112	儒
U+5118	儘
U+5114	儔
U+5132	儲
U+512A	優
U+511F	償
U+5121	儡
U+5137	儷
U+513C	儼
U+5140	兀
U+5143	元
U+5141	允
U+5144	兄
U+5145	充
U+5149	光
U+5147	兇
U+5146	兆
U+5148	先
U+514B	克
U+514C,U+5151	兌兑
U+514D	免
U+5155	兕
U+5154	兔
U+5152	兒
U+5157	兗
U+515C	兜
U+5162	兢
U+5165	入
U+5167	內
U+5168	全
U+5169	兩
U+516B	八
U+516D	六
U+516E	兮
U+516C	公
U+5171	共
U+5175	兵
U+5177	具
U+5176	其
U+5178	典
U+517C	兼
U+5180	冀
U+5189	冉
U+518A	冊
U+518D	再
U+5192	冒
U+5191	冑
U+5195	冕
U+6700	最
U+51A0	冠
U+51A2	冢
U+51A5	冥
U+51A4	冤
U+51AC	冬
U+51B0	冰
U+51B6	冶
U+51B7	冷
U+51BD	冽
U+51CD	凍
U+51CC	凌
U+51C6	准
U+51CB	凋
U+51DC	凜
U+51DD	凝
U+51E0	几
U+51F0	凰
U+51F1	凱
U+51F3,U+6AC8	凳櫈
U+51F6	凶
U+51F9	凹
U+51FA	出
U+51F8	凸
U+51FD	函
U+5200	刀
U+5201	刁
U+5203	刃
U+5207	切
U+5206	分
U+5208	刈
U+520A	刊
U+5217	列
U+5211	刑
U+5212	划
U+520E	刎
U+5224	判
U+522B	别
U+522A	刪
U+5229	利
U+5228	刨
U+523B	刻
U+5238	券
U+5237	刷
U+523A	刺
U+5230	到
U+522E	刮
U+5236	制
U+5241	剁
U+5243	剃
U+524D	前
U+524C	剌
U+524B,U+5C05	剋尅
U+5247	則
U+524A	削
U+524E	剎
U+5256	剖
U+525C	剜
U+5254	剔
U+525B	剛
U+525D	剝
U+526A	剪
U+526F	副
U+5272	割
U+5274	剴
U+5275	創
U+5269	剩
U+5277	剷
U+527D	剽
U+527F	剿
U+5283	劃
U+5288	劈
U+5287	劇
U+5289	劉
U+528D	劍
U+5291	劑
U+529B	力
U+52A0	加
U+529F	功
U+52A3	劣
U+52AB	劫
U+52A9	助
U+52AA	努
U+52AC	劬
U+52BE	劾
U+52C7	勇
U+52C3	勃
U+52C9	勉
U+52C1	勁
U+52D2	勒
U+52D9	務
U+52D8	勘
U+52D5	動
U+52DE	勞
U+52DB,U+52F3	勛勳
U+52DD	勝
U+52DF	募
U+52E4	勤
U+52E2	勢
U+52F5	勵
U+52F8	勸
U+52FB,U+5300	勻匀
U+52FE	勾
U+52FF	勿
U+5305	包
U+5306,U+6031	匆怱
U+5308	匈
U+530D	匍
U+5310	匐
U+530F	匏
U+5315	匕
U+5316	化
U+5317	北
U+5319	匙
U+531D	匝
U+5321	匡
U+5320	匠
U+5323	匣
U+532A	匪
U+532F	匯
U+5331	匱
U+5339	匹
U+533E	匾
U+533F	匿
U+5340	區
U+5341	十
U+5343	千
U+5345	卅
U+5348	午
U+5347	升
U+534A	半
U+5349	卉
U+4EDF	仟
U+5352	卒
U+5354	協
U+5353	卓
U+5351	卑
U+5357	南
U+535A	博
U+535C	卜
U+535E	卞
U+5361	卡
U+5360	占
U+5366	卦
U+536C	卬
U+536E	卮
U+5370	印
U+5371	危
U+5373	即
U+5375	卵
U+5377	卷
U+5378	卸
U+5379	卹
U+537B	卻
U+537F	卿
U+5384	厄
U+539A	厚
U+539F	原
U+53A5	厥
U+53AD	厭
U+53B2	厲
U+53BB	去
U+53C3	參
U+53C8	又
U+53C9	叉
U+53CB	友
U+53CD	反
U+53CA	及
U+53D6	取
U+53D4	叔
U+53D7	受
U+53DB	叛
U+53DF	叟
U+66FC	曼
U+53E2	叢
U+53E3	口
U+53EF	可
U+53E4	古
U+53F3	右
U+53EC	召
U+53EE	叮
U+53E9	叩
U+53E8	叨
U+53FC	叼
U+53F8	司
U+53F5	叵
U+53E6	另
U+53EB	叫
U+53EA	只
U+53F2	史
U+53F1	叱
U+53F0,U+81FA	台臺
U+53E5	句
U+53ED	叭
U+5409	吉
U+540F	吏
U+5410	吐
U+5401	吁
U+540B	吋
U+540C	同
U+5404	各
U+5411	向
U+540D	名
U+5408	合
U+5403	吃
U+540E	后
U+5406	吆
U+5412	吒
U+541D	吝
U+542D	吭
U+541E	吞
U+543E	吾
U+5426	否
U+544E	呎
U+5427	吧
U+5443	呃
U+541B	君
U+5420	吠
U+543C	吼
U+5440	呀
U+5431	吱
U+5446	呆
U+5433	吳
U+5435	吵
U+5450	呐
U+5448	呈
U+5442	呂
U+5429	吩
U+544A	告
U+5439	吹
U+543B	吻
U+5438	吸
U+542E	吮
U+542B	含
U+541F	吟
U+5473	味
U+5475	呵
U+5496	咖
U+5478	呸
U+5495	咕
U+5462	呢
U+5480	咀
U+547B	呻
U+5477	呷
U+5484	咄
U+5492	咒
U+5486	咆
U+547C	呼
U+5490	咐
U+5471	呱
U+5476	呶
U+548C	和
U+549A	咚
U+5468	周
U+548B	咋
U+547D	命
U+548E	咎
U+54AC	咬
U+54C0	哀
U+54A9	咩
U+54A8	咨
U+54B3	咳
U+54AA	咪
U+54CE	哎
U+54C9	哉
U+54A6	咦
U+54C7	哇
U+54C2	哂
U+54C4	哄
U+54AB	咫
U+54A7	咧
U+54BD	咽
U+54C1	品
U+54C8	哈
U+54AF	咯
U+54B1	咱
U+54BB	咻
U+54B8	咸
U+5510	唐
U+5501	唁
U+54FC	哼
U+54E5	哥
U+54F2	哲
U+54FA	哺
U+5514	唔
U+54EE	哮
U+54EA	哪
U+5527	唧
U+54E9	哩
U+54ED	哭
U+54E1	員
U+54E8	哨
U+5506	唆
U+5509	唉
U+54E6	哦
U+5537	唷
U+5546	商
U+5556	啖
U+5533	唳
U+556A	啪
U+5566	啦
U+5544	啄
U+555E	啞
U+554A	啊
U+555C	啜
U+5543	啃
U+5531	唱
U+554F	問
U+552C	唬
U+5561	啡
U+5555	啕
U+552F	唯
U+5564	啤
U+5538	唸
U+552E	售
U+5563	啣
U+5541	啁
U+5565	啥
U+557B	啻
U+5580	喀
U+55A7	喧
U+557C	啼
U+559C	喜
U+55AA	喪
U+5594	喔
U+5587	喇
U+558B	喋
U+5583	喃
U+55B3	喳
U+55B1	喱
U+559D	喝
U+5598	喘
U+5582	喂
U+55AE	單
U+559F	喟
U+558A	喊
U+553E	唾
U+55B2	喲
U+559A	喚
U+55BB	喻
U+55AC	喬
U+557E	啾
U+5589	喉
U+55DF	嗟
U+55E8	嗨
U+55D3	嗓
U+55C9	嗉
U+55CE	嗎
U+55DC	嗜
U+55C7	嗇
U+55D1	嗑
U+55E3	嗣
U+55E4	嗤
U+55EF	嗯
U+55DA	嗚
U+55E1	嗡
U+55C5	嗅
U+55C6	嗆
U+55E5	嗥
U+55FE	嗾
U+5600	嘀
U+561B	嘛
U+55FD	嗽
U+5614	嘔
U+5609	嘉
U+55F7	嗷
U+5616	嘖
U+561F	嘟
U+5608	嘈
U+5617	嘗
U+560D	嘍
U+562E	嘮
U+563B	嘻
U+5639	嘹
U+5632	嘲
U+5629	嘩
U+564E	噎
U+5674	噴
U+5636	嘶
U+563F	嘿
U+5630	嘰
U+5653	噓
U+5657	噗
U+5634	嘴
U+566B	噫
U+562F	嘯
U+5669	噩
U+5664	噤
U+5678	噸
