U+4E07	万
U+4E0C	丌
U+4E0F	丏
U+5187	冇
U+4E0E	与
U+4E2E	丮
U+4E31	丱
U+4E30	丰
U+4E42	乂
U+4E5C	乜
U+4E8D	亍
U+4E93	亓
U+4EA2	亢
U+4EB3	亳
U+4EB6	亶
U+4EB9	亹
U+4EC2	仂
U+4EC9	仉
U+4EE8	仨
U+4EDC	仜
U+4EE9	仩
U+4EE1	仡
U+4EDD	仝
U+4F0E	伎
U+4F18	优
U+4F2C	伬
U+4EF5	仵
U+4F14	伔
U+4F0B	伋
U+4EF1	仱
U+4F00	伀
U+4EF7	价
U+4F56	佖
U+4F3B	伻
U+4F62	佢
U+4F49	佉
U+4F53	体
U+4F64	佤
U+4F3E	伾
U+4F48	佈
U+4F67	佧
U+4F52	佒
U+4F5A	佚
U+4F5F	佟
U+4F41	佁
U+4F58	佘
U+4F98	侘
U+4F7C	佼
U+4F85	侅
U+4F7D	佽
U+4F80	侀
U+4F87	侇
U+4F76	佶
U+4F74	佴
U+4F89	侉
U+4F91	侑
U+4F84	侄
U+4F77	佷
U+4F4C	佌
U+4F97	侗
U+4F6A	佪
U+4F9A	侚
U+4F79	佹
U+4F81	侁
U+4F78	佸
U+4F90	侐
U+4F9C	侜
U+4F7A	佺
U+4F94	侔
U+4F9E	侞
U+4FCD	俍
U+4FC5	俅
U+4FD3	俓
U+4FB2	侲
U+4FC9	俉
U+4FB7	侷
U+4FCB	俋
U+4FC1	俁
U+4FD4	俔
U+4FDC	俜
U+4FD9	俙
U+4FBB	侻
U+4FB3	侳
U+4FDB	俛
U+4FC7	俇
U+501E	倞
U+5005	倅
U+5007	倇
U+5013	倓
U+5022	倢
U+5030	倰
U+501B	倛
U+4FF5	俵
U+4FF4	俴
U+5033	倳
U+5037	倷
U+502C	倬
U+4FF6	俶
U+4FF7	俷
U+5017	倗
U+501C	倜
U+5020	倠
U+506F	偯
U+5070	偰
U+506A	偪
U+5061	偡
U+505E	偞
U+5060	偠
U+506D	偭
U+5053	偓
U+504B	偋
U+505D	偝
U+5072	偲
U+5048	偈
U+504D	偍
U+5041	偁
U+505B	偛
U+504A	偊
U+5062	偢
U+5015	倕
U+5045	偅
U+505F	偟
U+5069	偩
U+506B	偫
U+509B	傛
U+509A	傚
U+5095	傕
U+5094	傔
U+509E	傞
U+508B	傋
U+50A3	傣
U+5083	傃
U+508C	傌
U+508E	傎
U+509D	傝
U+5068	偨
U+509C	傜
U+5092	傒
U+5082	傂
U+50BD	傽
U+50BF	傿
U+50C6	僆
U+50AE	傮
U+50C4	僄
U+50CA	僊
U+50B4	傴
U+50C7	僇
U+50C8	僈
U+50C2	僂
U+50B0	傰
U+50C1	僁
U+50BA	傺
U+50B1	傱
U+50CB	僋
U+50C9	僉
U+50E6	僦
U+50D4	僔
U+50D7	僗
U+50E8	僨
U+50F3	僳
U+50DB	僛
U+50EA	僪
U+50CE	僎
U+50DD	僝
U+50E4	僤
U+50D3	僓
U+50E9	僩
U+50EC	僬
U+50F0	僰
U+50FF	僿
U+5103	儃
U+5130	儰
U+50F8	僸
U+5106	儆
U+5107	儇
U+50F6	僶
U+50FE	僾
U+510B	儋
U+510C	儌
U+50FD	僽
U+511C	儜
U+5115	儕
U+5113	儓
U+5117	儗
U+511A	儚
U+5111	儑
U+5126	儦
U+5125	儥
U+5122	儢
U+5124	儤
U+5120	儠
U+5131	儱
U+5134	儴
U+5135	儵
U+5133	儳
U+513A	儺
U+5138	儸
U+5139	儹
U+513B	儻
U+513D	儽
U+515A	党
U+518F	冏
U+5194	冔
U+5193	冓
U+5198	冘
U+519E	冞
U+51AA	冪
U+51B1	冱
U+51BC	冼
U+51CA	凊
U+51C4	凄
U+51C5	凅
U+51D4	凔
U+51D8	凘
U+51F5	凵
U+520C	刌
U+5209	刉
U+5213	刓
U+5216	刖
U+521C	刜
U+521E	刞
U+5235	刵
U+5232	刲
U+5233	刳
U+5246	剆
U+5231	刱
U+5244	剄
U+5249	剉
U+5261	剡
U+525A	剚
U+5252	剒
U+525E	剞
U+525F	剟
U+5255	剕
U+526B	剫
U+526D	剭
U+526C	剬
U+527A	剺
U+5278	剸
U+527B	剻
U+527C	剼
U+5282	劂
U+5280	劀
U+528B	劋
U+5281	劁
U+528C	劌
U+528A	劊
U+5293	劓
U+5296	劖
U+5298	劘
U+5297	劗
U+5299	劙
U+52A6	劦
U+52AD	劭
U+52BC	劼
U+52CD	勍
U+52D6	勖
U+52E3	勣
U+52E9	勩
U+52F0	勰
U+52F1	勱
U+52F4	勴
U+52FA	勺
U+530A	匊
U+531C	匜
U+5322	匢
U+532D	匭
U+5330	匰
U+5334	匴
U+5337	匷
U+533C	匼
U+533D	匽
U+534C	卌
U+534D	卍
U+5363	卣
U+536C	卬
U+537C	卼
U+5382	厂
U+538E	厎
U+5392	厒
U+5397	厗
U+5396	厖
U+539E	厞
U+539C	厜
U+53A4	厤
U+53AC	厬
U+53B9	厹
U+53E1	叡
U+53FB	叻
U+5430	吰
U+5437	吷
U+542A	吪
U+5454	呔
U+542C	听
U+5487	咇
U+547F	呿
U+5481	咁
U+5491	咑
U+5482	咂
U+5488	咈
U+546B	呫
