U+7684	的	de,dī,dí,dì
U+4E00	一	yī
U+4E86	了	le,liǎo
U+662F	是	shì
U+4E0D	不	bù
U+6211	我	wǒ
U+5728	在	zài
U+4EBA	人	rén
U+6709	有	yǒu
U+8FD9	这	zhè
U+4ED6	他	tā
U+6765	来	lái
U+4E2A	个	gě,gè
U+4F60	你	nǐ
U+8BF4	说	shuì,shuō
U+4E0A	上	shǎng,shàng
U+5230	到	dào
U+5C31	就	jiù
U+7740	着	zhāo,zháo,zhe,zhuó
U+5927	大	dà,dài
U+4EEC	们	mén,men
U+9053	道	dào
U+90A3	那	nā,nà
U+4E48	么	me
U+4E5F	也	yě
U+5730	地	de,dì
U+5B50	子	zǐ
U+4E0B	下	xià
U+51FA	出	chū
U+65F6	时	shí
U+770B	看	kān,kàn
U+8981	要	yāo,yào
U+5979	她	tā
U+4E2D	中	zhōng,zhòng
U+6CA1	没	méi,mò
U+7136	然	rán
U+91CC	里	lǐ
U+4E3A	为	wéi,wèi
U+8FC7	过	guō,guò
U+81EA	自	zì
U+597D	好	hǎo,hào
U+5F97	得	dé,de,děi
U+53BB	去	qù
U+53EF	可	kě,kè
U+4F1A	会	huì,kuài
U+5929	天	tiān
U+8FD8	还	hái,huán
U+5FC3	心	xīn
U+540E	后	hòu
U+4EE5	以	yǐ
U+5C0F	小	xiǎo
U+90FD	都	dōu,dū
U+548C	和	hé,hè,hú,huó,huò,huo
U+5BF9	对	duì
U+60F3	想	xiǎng
U+80FD	能	néng
U+8D77	起	qǐ
U+4E4B	之	zhī
U+624B	手	shǒu
U+800C	而	ér
U+53EA	只	zhī,zhǐ
U+751F	生	shēng
U+4EC0	什	shén,shí
U+8EAB	身	shēn
U+5934	头	tóu
U+6837	样	yàng
U+4E8B	事	shì
U+591A	多	duō
U+5DF1	己	jǐ
U+5BB6	家	jiā,jia
U+9762	面	miàn
U+77E5	知	zhī
U+5F00	开	kāi
U+5982	如	rú
U+65E0	无	mó,wú
U+73B0	现	xiàn
U+5F88	很	hěn
U+70B9	点	diǎn
U+524D	前	qián
U+53D1	发	fā,fà
U+7ECF	经	jīng,jìng
U+60C5	情	qíng
U+628A	把	bǎ,bà
U+8001	老	lǎo
U+4E9B	些	xiē
U+8BDD	话	huà
U+5DF2	已	yǐ
U+53C8	又	yòu
U+58F0	声	shēng
U+610F	意	yì
U+4E8E	于	yú
U+56DE	回	huí
U+7B11	笑	xiào
U+6240	所	suǒ
U+4F46	但	dàn
U+773C	眼	yǎn
U+6210	成	chéng
U+65B9	方	fāng
U+5E74	年	nián
U+89C1	见	jiàn,xiàn
U+5F53	当	dāng,dàng
U+5973	女	nǚ
U+771F	真	zhēn
U+4E24	两	liǎng
U+529B	力	lì
U+6C14	气	qì
U+4ECE	从	cóng
U+7528	用	yòng
U+957F	长	cháng,zhǎng
U+52A8	动	dòng
U+95F4	间	jiān,jiàn
U+56FD	国	guó
U+8D70	走	zǒu
U+8BA9	让	ràng
U+88AB	被	bèi
U+7ED9	给	gěi,jǐ
U+6B63	正	zhēng,zhèng
U+95EE	问	wèn
U+6253	打	dá,dǎ
U+660E	明	míng
U+513F	儿	ér
U+6CD5	法	fǎ
U+624D	才	cái
U+51E0	几	jī,jǐ
U+884C	行	háng,héng,xíng
U+4E09	三	sān
U+5B9A	定	dìng
U+6B64	此	cǐ
U+8FDB	进	jìn
U+518D	再	zài
U+79CD	种	chóng,zhǒng,zhòng
U+5C06	将	jiāng,jiàng
U+5B9E	实	shí
U+540C	同	tóng,tòng
U+6700	最	zuì
U+672C	本	běn
U+5411	向	xiàng
U+5206	分	fēn,fèn
U+5341	十	shí
U+5B66	学	xué
U+9AD8	高	gāo
U+7B2C	第	dì
U+611F	感	gǎn
U+600E	怎	zěn
U+795E	神	shén
U+542C	听	tīng
U+8FB9	边	biān
U+4F5C	作	zuō,zuò
U+5176	其	qí
U+5427	吧	bā,ba
U+5374	却	què
U+53E3	口	kǒu
U+89C9	觉	jiào,jué
U+554A	啊	ā,á,ǎ,à,a
U+56E0	因	yīn
U+767D	白	bái
U+6B21	次	cì
U+519B	军	jūn
U+505A	做	zuò
U+5916	外	wài
U+95E8	门	mén
U+5149	光	guāng
U+98CE	风	fēng
U+4E3B	主	zhǔ
U+4F4F	住	zhù
U+679C	果	guǒ
U+4E0E	与	yǔ,yù
U+5168	全	quán
U+4E8C	二	èr
U+5019	候	hòu
U+516C	公	gōng
U+76F8	相	xiāng,xiàng
U+5417	吗	má,mǎ,ma
U+7B49	等	děng
U+522B	别	bié,biè
U+8272	色	sè,shǎi
U+6B7B	死	sǐ
U+5F20	张	zhāng
U+90E8	部	bù
U+592A	太	tài
U+65E5	日	rì
U+5C11	少	shǎo,shào
U+6218	战	zhàn
U+7406	理	lǐ
U+76F4	直	zhí
U+91CD	重	chóng,zhòng
U+738B	王	wáng
U+50CF	像	xiàng
U+8138	脸	liǎn
U+6BD4	比	bǐ
U+5FEB	快	kuài
U+4F55	何	hé
U+6C34	水	shuǐ
U+540D	名	míng
U+4F53	体	tī,tǐ
U+5462	呢	ne,ní
U+4E1C	东	dōng
U+53EB	叫	jiào
U+897F	西	xī
U+5E94	应	yīng,yìng
U+4FBF	便	biàn,pián
U+653E	放	fàng
U+9A6C	马	mǎ
U+96BE	难	nán,nàn
U+8F7B	轻	qīng
U+66F4	更	gēng,gèng
U+7F8E	美	měi
U+4F4D	位	wèi
U+5173	关	guān
U+673A	机	jī
U+63A5	接	jiē
U+5148	先	xiān
U+6587	文	wén
U+5904	处	chǔ,chù
U+5E76	并	bīng,bìng
U+671B	望	wàng
U+5E38	常	cháng
U+5B8C	完	wán
U+56DB	四	sì
U+98DE	飞	fēi
U+5E08	师	shī
U+8005	者	zhě
U+5B89	安	ān
U+6E05	清	qīng
U+521A	刚	gāng
U+8DDF	跟	gēn
U+6708	月	yuè
U+4FE1	信	xìn
U+5C71	山	shān
U+7231	爱	ài
U+5185	内	nèi
U+9F99	龙	lóng
U+7A7A	空	kōng,kòng
U+5E26	带	dài
U+627E	找	zhǎo
U+539F	原	yuán
U+5165	入	rù
U+674E	李	lǐ
U+8FDE	连	lián
U+5403	吃	chī
U+573A	场	cháng,chǎng
U+5E73	平	píng
U+601D	思	sī
U+6797	林	lín
U+53D8	变	biàn
U+4F7F	使	shǐ
U+7531	由	yóu
U+53D7	受	shòu
U+4EB2	亲	qīn,qìng
U+547D	命	mìng
U+76EE	目	mù
U+5F3A	强	jiàng,qiáng,qiǎng
U+7537	男	nán
U+4EFB	任	rén,rèn
U+8BE5	该	gāi
U+8DEF	路	lù
U+8F66	车	chē,jū
U+4ECA	今	jīn
U+6D77	海	hǎi
U+52A0	加	jiā
U+8FDC	远	yuǎn
U+6D3B	活	huó
U+7279	特	tè
U+89E3	解	jiě,jiè,xiè
U+7535	电	diàn
U+4E16	世	shì
U+6027	性	xìng
U+8868	表	biǎo
U+8BB8	许	xǔ
U+5B83	它	tā
U+7ACB	立	lì
U+9ED1	黑	hēi
U+91D1	金	jīn
U+7EA2	红	hóng
U+82B1	花	huā
U+8F6C	转	zhuǎn,zhuàn
U+603B	总	zǒng
U+7B97	算	suàn
U+57CE	城	chéng
U+961F	队	duì
U+5B69	孩	hái
U+53CD	反	fǎn
U+5DE5	工	gōng
U+59CB	始	shǐ
U+6EE1	满	mǎn
U+65B0	新	xīn
U+5175	兵	bīng
U+7269	物	wù
U+79BB	离	lí
U+975E	非	fēi
U+867D	虽	suī
U+4E91	云	yún
U+4F3C	似	shì,sì
U+4E07	万	mò,wàn
U+81F3	至	zhì
U+5E72	干	gān,gàn
U+901A	通	tōng,tòng
U+8BA4	认	rèn
U+5931	失	shī
U+706B	火	huǒ
U+54E5	哥	gē
U+58EB	士	shì
U+4E94	五	wǔ
U+60CA	惊	jīng
U+9B54	魔	mó
U+7ADF	竟	jìng
U+59D0	姐	jiě
U+4E4E	乎	hū
U+5251	剑	jiàn
U+5F80	往	wǎng
U+91CF	量	liáng,liàng
U+65E9	早	zǎo
U+7ED3	结	jiē,jié
U+6015	怕	pà
U+6D41	流	liú
U+7A81	突	tū
U+5750	坐	zuò
U+65AF	斯	sī
U+97F3	音	yīn
U+7D27	紧	jǐn
U+6307	指	zhǐ
U+62C9	拉	lā,lá
U+6740	杀	shā
U+534A	半	bàn
U+8BB0	记	jì
U+4E14	且	qiě
U+5229	利	lì
U+5408	合	gě,hé
U+5012	倒	dǎo,dào
U+4E66	书	shū
U+5EA6	度	dù,duó
U+5FAE	微	wēi
U+6B65	步	bù
U+6559	教	jiāo,jiào
U+559C	喜	xǐ
U+8D8A	越	yuè
U+5F71	影	yǐng
U+8C01	谁	shéi,shuí
U+51B7	冷	lěng
U+6DF1	深	shēn
U+544A	告	gào
U+843D	落	là,lào,luò
U+8C61	象	xiàng
U+5BB9	容	róng
U+602A	怪	guài
U+4F20	传	chuán,zhuàn
U+94B1	钱	qián
U+63D0	提	dī,tí
U+8A00	言	yán
U+968F	随	suí
U+6BCF	每	měi
U+53CC	双	shuāng
U+670D	服	fú,fù
U+51FB	击	jī
U+6B66	武	wǔ
U+54EA	哪	nǎ,na,né
U+6570	数	shǔ,shù,shuò
U+7AD9	站	zhàn
U+5947	奇	jī,qí
U+623F	房	fáng
U+7BA1	管	guǎn
U+7075	灵	líng
U+523B	刻	kè
U+9898	题	tí
U+8863	衣	yī
U+5468	周	zhōu
U+9759	静	jìng
U+4F24	伤	shāng
U+767E	百	bǎi
U+62FF	拿	ná
U+5988	妈	mā
U+529E	办	bàn
U+661F	星	xīng
U+5316	化	huà
U+529F	功	gōng
U+7EDD	绝	jué
U+7CFB	系	jì,xì
U+822C	般	bān
U+5FC5	必	bì
U+4E1A	业	yè
U+5C14	尔	ěr
U+4EF6	件	jiàn
U+8840	血	xiě,xuè
U+4EE3	代	dài
U+7CBE	精	jīng
U+5F1F	弟	dì
U+7EC8	终	zhōng
U+8FD1	近	jìn
U+6761	条	tiáo
U+9752	青	qīng
U+754C	界	jiè
U+53F8	司	sī
U+6574	整	zhěng
U+6B22	欢	huān
U+5B57	字	zì
U+665A	晚	wǎn
U+6C11	民	mín
U+5E2E	帮	bāng
U+5207	切	qiē,qiè
U+5373	即	jí
U+5FD9	忙	máng
U+4EA4	交	jiāo
U+6216	或	huò
U+6697	暗	àn
U+592B	夫	fū
U+5458	员	yuán,yùn
U+6839	根	gēn
U+77F3	石	dàn,shí
U+54C8	哈	hā,hǎ,hà
U+591C	夜	yè
U+7236	父	fù
U+5236	制	zhì
U+53CB	友	yǒu
U+963F	阿	ā,ē
U+606F	息	xī
U+51B2	冲	chōng,chòng
U+9152	酒	jiǔ
U+4FDD	保	bǎo
U+7247	片	piān,piàn
U+5F62	形	xíng
U+9635	阵	zhèn
U+5357	南	nā,nán
U+51B3	决	jué
U+8BF7	请	qǐng
U+5404	各	gè
U+62A5	报	bào
U+5174	兴	xīng,xìng
U+9633	阳	yáng
U+6025	急	jí
U+8BED	语	yǔ
U+4EE4	令	líng,lǐng,lìng
U+9519	错	cuò
U+53CA	及	jí
U+5218	刘	liú
U+6781	极	jí
U+8BC6	识	shí,zhì
U+5907	备	bèi
U+6162	慢	màn
U+96EA	雪	xuě
U+82E6	苦	kǔ
U+82E5	若	ruò
U+9886	领	lǐng
U+6536	收	shōu
U+5E95	底	dǐ
U+5C3D	尽	jǐn,jìn
U+51C6	准	zhǔn
U+534E	华	huá,huà
U+7B54	答	dā,dá
U+4F17	众	zhòng
U+5343	千	qiān
U+6D88	消	xiāo
U+89C6	视	shì
U+7F57	罗	luó
U+6562	敢	gǎn
U+7559	留	liú
U+514B	克	kè
U+4E50	乐	lè,yuè
U+591F	够	gòu
U+8DD1	跑	páo,pǎo
U+663E	显	xiǎn
U+5634	嘴	zuǐ
U+5B98	官	guān
U+65AD	断	duàn
U+672A	未	wèi
U+52BF	势	shì
U+53E5	句	gōu,jù
U+6C42	求	qiú
U+8BA1	计	jì
U+8BBA	论	lún,lùn
U+8FBE	达	dá
U+5219	则	zé
U+5BB3	害	hài
U+516B	八	bā
U+5355	单	chán,dān,shàn
U+4E45	久	jiǔ
U+811A	脚	jiǎo
U+5FB7	德	dé
U+5143	元	yuán
U+8111	脑	nǎo
U+695A	楚	chǔ
U+96E8	雨	yǔ
U+775B	睛	jīng
U+54CD	响	xiǎng
U+5200	刀	dāo
U+786E	确	què
U+7389	玉	yù
U+6C89	沉	chén
U+5317	北	běi
U+683C	格	gé
U+505C	停	tíng
U+9648	陈	chén
U+5E02	市	shì
U+671D	朝	cháo,zhāo
U+559D	喝	hē,hè
U+65CF	族	zú
U+6C5F	江	jiāng
U+56E2	团	tuán
U+6BCD	母	mǔ
U+7AE0	章	zhāng
U+88C5	装	zhuāng
U+4EAE	亮	liàng
U+5BA2	客	kè
U+7167	照	zhào
U+4E71	乱	luàn
U+6613	易	yì
U+8DB3	足	zú
U+4F9D	依	yī
U+9EC4	黄	huáng
U+4FEE	修	xiū
U+7834	破	pò
U+53F0	台	tāi,tái
U+7403	球	qiú
U+5440	呀	yā,ya
U+9662	院	yuàn
U+9001	送	sòng
U+5305	包	bāo
U+4E49	义	yì
U+8BC9	诉	sù
U+653B	攻	gōng
U+4E1D	丝	sī
U+56F4	围	wéi
U+73A9	玩	wán
U+5F85	待	dāi,dài
U+590D	复	fù
U+51B5	况	kuàng
U+697C	楼	lóu
U+4E3D	丽	lí,lì
U+75DB	痛	tòng
U+68A6	梦	mèng
U+547C	呼	hū
U+6447	摇	yáo
U+671F	期	jī,qī
U+82F1	英	yīng
U+4F4E	低	dī
U+5E1D	帝	dì
U+5144	兄	xiōng
U+80CC	背	bēi,bèi
U+6301	持	chí
U+7237	爷	yé
U+7687	皇	huáng
U+4E03	七	qī
U+516D	六	liù
U+7A7F	穿	chuān
U+6768	杨	yáng
U+653F	政	zhèng
U+8FD0	运	yùn
U+5C45	居	jū
U+53F6	叶	xié,yè
U+70ED	热	rè
U+6821	校	jiào,xiào
U+8C22	谢	xiè
U+66FE	曾	céng,zēng
U+53E4	古	gǔ
U+7EC6	细	xì
U+4EA7	产	chǎn
U+7761	睡	shuì
U+5E0C	希	xī
U+901F	速	sù
U+5BA4	室	shì
U+65C1	旁	páng
U+53E6	另	lìng
U+6000	怀	huái
U+9732	露	lòu,lù
U+5F02	异	yì
U+5199	写	xiě
U+9B3C	鬼	guǐ
U+5A18	娘	niáng
U+53D6	取	qǔ
U+5F0F	式	shì
U+9664	除	chú
U+7EA7	级	jí
U+8003	考	kǎo
U+5EFA	建	jiàn
U+613F	愿	yuàn
U+62DB	招	zhāo
U+996D	饭	fàn
U+5E03	布	bù
U+7EED	续	xù
U+7A0B	程	chéng
U+9996	首	shǒu
U+89C2	观	guān,guàn
U+670B	朋	péng
U+52A1	务	wù
U+6389	掉	diào
U+8D76	赶	gǎn
U+5FFD	忽	hū
U+6CE8	注	zhù
U+672F	术	shù,zhú
U+751A	甚	shèn
U+5DEE	差	chā,chà,chāi,cī
U+5475	呵	hē
U+5C55	展	zhǎn
U+4E89	争	zhēng
U+54C1	品	pǐn
U+5170	兰	lán
U+5B9D	宝	bǎo
U+9999	香	xiāng
U+6597	斗	dǒu,dòu
U+6545	故	gù
U+96F7	雷	léi
U+5FF5	念	niàn
U+6BB5	段	duàn
U+987F	顿	dùn
U+89D2	角	jiǎo,jué
U+7591	疑	yí
U+62A4	护	hù
U+95EA	闪	shǎn
U+6728	木	mù
U+9700	需	xū
U+8C03	调	diào,tiáo
U+7C7B	类	lèi
U+59B9	妹	mèi
U+7238	爸	bà
U+7EBF	线	xiàn
U+5DE6	左	zuǒ
U+6E38	游	yóu
U+6D3E	派	pài
U+8C08	谈	tán
U+6FC0	激	jī
U+51B0	冰	bīng
U+654C	敌	dí
U+8DF3	跳	tiào
U+652F	支	zhī
U+7EA6	约	yāo,yuē
U+5DF4	巴	bā
U+60A8	您	nín
U+987E	顾	gù
U+80AF	肯	kěn
U+9192	醒	xǐng
U+94C1	铁	tiě
U+62B1	抱	bào
U+6DE1	淡	dàn
U+9020	造	zào
U+4F19	伙	huǒ
U+8D44	资	zī
U+7FA4	群	qún
U+96C6	集	jí
U+8054	联	lián
U+5546	商	shāng
U+53F7	号	háo,hào
U+8282	节	jiē,jié
