U+4E00	一	yī
U+4E59	乙	yǐ
U+4E8C	二	èr
U+5341	十	shí
U+4E01	丁	dīng
U+5382	厂	chǎng
U+4E03	七	qī
U+535C	卜	bo,bǔ
U+516B	八	bā
U+4EBA	人	rén
U+5165	入	rù
U+513F	儿	ér
U+5315	匕	bǐ
U+51E0	几	jī,jǐ
U+4E5D	九	jiǔ
U+5201	刁	diāo
U+4E86	了	le,liǎo
U+5200	刀	dāo
U+529B	力	lì
U+4E43	乃	nǎi
U+53C8	又	yòu
U+4E09	三	sān
U+5E72	干	gān,gàn
U+4E8E	于	yú
U+4E8F	亏	kuī
U+5DE5	工	gōng
U+571F	土	tǔ
U+58EB	士	shì
U+624D	才	cái
U+4E0B	下	xià
U+5BF8	寸	cùn
U+5927	大	dà,dài
U+4E08	丈	zhàng
U+4E0E	与	yǔ,yù
U+4E07	万	mò,wàn
U+4E0A	上	shǎng,shàng
U+5C0F	小	xiǎo
U+53E3	口	kǒu
U+5C71	山	shān
U+5DFE	巾	jīn
U+5343	千	qiān
U+4E5E	乞	qǐ
U+5DDD	川	chuān
U+4EBF	亿	yì
U+4E2A	个	gě,gè
U+5915	夕	xī
U+4E45	久	jiǔ
U+4E48	么	me
U+52FA	勺	sháo
U+51E1	凡	fán
U+4E38	丸	wán
U+53CA	及	jí
U+5E7F	广	guǎng
U+4EA1	亡	wáng
U+95E8	门	mén
U+4E2B	丫	yā
U+4E49	义	yì
U+4E4B	之	zhī
U+5C38	尸	shī
U+5DF1	己	jǐ
U+5DF2	已	yǐ
U+5DF3	巳	sì
U+5F13	弓	gōng
U+5B50	子	zǐ
U+536B	卫	wèi
U+4E5F	也	yě
U+5973	女	nǚ
U+5203	刃	rèn
U+98DE	飞	fēi
U+4E60	习	xí
U+53C9	叉	chā,chá,chǎ,chà
U+9A6C	马	mǎ
U+4E61	乡	xiāng
U+4E30	丰	fēng
U+738B	王	wáng
U+5F00	开	kāi
U+4E95	井	jǐng
U+5929	天	tiān
U+592B	夫	fū
U+5143	元	yuán
U+65E0	无	mó,wú
U+4E91	云	yún
U+4E13	专	zhuān
U+4E10	丐	gài
U+624E	扎	zā,zhā,zhá
U+827A	艺	yì
U+6728	木	mù
U+4E94	五	wǔ
U+652F	支	zhī
U+5385	厅	tīng
U+4E0D	不	bù
U+72AC	犬	quǎn
U+592A	太	tài
U+533A	区	ōu,qū
U+5386	历	lì
U+6B79	歹	dǎi
U+53CB	友	yǒu
U+5C24	尤	yóu
U+5339	匹	pǐ
U+8F66	车	chē,jū
U+5DE8	巨	jù
U+7259	牙	yá
U+5C6F	屯	tún
U+6208	戈	gē
U+6BD4	比	bǐ
U+4E92	互	hù
U+5207	切	qiē,qiè
U+74E6	瓦	wǎ,wà
U+6B62	止	zhǐ
U+5C11	少	shǎo,shào
U+66F0	曰	yuē
U+65E5	日	rì
U+4E2D	中	zhōng,zhòng
U+8D1D	贝	bèi
U+5188	冈	gāng
U+5185	内	nèi
U+6C34	水	shuǐ
U+89C1	见	jiàn,xiàn
U+5348	午	wǔ
U+725B	牛	niú
U+624B	手	shǒu
U+6C14	气	qì
U+6BDB	毛	máo
U+58EC	壬	rén
U+5347	升	shēng
U+592D	夭	yāo
U+957F	长	cháng,zhǎng
U+4EC1	仁	rén
U+4EC0	什	shén,shí
U+7247	片	piān,piàn
U+4EC6	仆	pū,pú
U+5316	化	huà
U+4EC7	仇	chóu,qiú
U+5E01	币	bì
U+4ECD	仍	réng
U+4EC5	仅	jǐn
U+65A4	斤	jīn
U+722A	爪	zhǎo,zhuǎ
U+53CD	反	fǎn
U+4ECB	介	jiè
U+7236	父	fù
U+4ECE	从	cóng
U+4ED1	仑	lún
U+4ECA	今	jīn
U+51F6	凶	xiōng
U+5206	分	fēn,fèn
U+4E4F	乏	fá
U+516C	公	gōng
U+4ED3	仓	cāng
U+6708	月	yuè
U+6C0F	氏	shì,zhī
U+52FF	勿	wù
U+6B20	欠	qiàn
U+98CE	风	fēng
U+4E39	丹	dān
U+5300	匀	yún
U+4E4C	乌	wū
U+52FE	勾	gōu,gòu
U+51E4	凤	fèng
U+516D	六	liù
U+6587	文	wén
U+4EA2	亢	kàng
U+65B9	方	fāng
U+706B	火	huǒ
U+4E3A	为	wéi,wèi
U+6597	斗	dǒu,dòu
U+5FC6	忆	yì
U+8BA1	计	jì
U+8BA2	订	dìng
U+6237	户	hù
U+8BA4	认	rèn
U+5197	冗	rǒng
U+8BA5	讥	jī
U+5FC3	心	xīn
U+5C3A	尺	chě,chǐ
U+5F15	引	yǐn
U+4E11	丑	chǒu
U+5DF4	巴	bā
U+5B54	孔	kǒng
U+961F	队	duì
U+529E	办	bàn
U+4EE5	以	yǐ
U+5141	允	yǔn
U+4E88	予	yú,yǔ
U+9093	邓	dèng
U+529D	劝	quàn
U+53CC	双	shuāng
U+4E66	书	shū
U+5E7B	幻	huàn
U+7389	玉	yù
U+520A	刊	kān
U+672A	未	wèi
U+672B	末	mò
U+793A	示	shì
U+51FB	击	jī
U+6253	打	dá,dǎ
U+5DE7	巧	qiǎo
U+6B63	正	zhēng,zhèng
U+6251	扑	pū
U+5349	卉	huì
U+6252	扒	bā,pá
U+529F	功	gōng
U+6254	扔	rēng
U+53BB	去	qù
U+7518	甘	gān
U+4E16	世	shì
U+827E	艾	ài,yì
U+53E4	古	gǔ
U+8282	节	jiē,jié
U+672C	本	běn
U+672F	术	shù,zhú
U+53EF	可	kě,kè
U+4E19	丙	bǐng
U+5DE6	左	zuǒ
U+5389	厉	lì
U+77F3	石	dàn,shí
U+53F3	右	yòu
U+5E03	布	bù
U+592F	夯	hāng
U+620A	戊	wù
U+9F99	龙	lóng
U+5E73	平	píng
U+706D	灭	miè
U+8F67	轧	yà,zhá
U+4E1C	东	dōng
U+5361	卡	kǎ,qiǎ
U+5317	北	běi
U+5360	占	zhān,zhàn
U+51F8	凸	tū
U+5362	卢	lú
U+4E1A	业	yè
U+65E7	旧	jiù
U+5E05	帅	shuài
U+5F52	归	guī
U+65E6	旦	dàn
U+76EE	目	mù
U+4E14	且	qiě
U+53F6	叶	xié,yè
U+7532	甲	jiǎ
U+7533	申	shēn
U+53EE	叮	dīng
U+7535	电	diàn
U+53F7	号	háo,hào
U+7530	田	tián
U+7531	由	yóu
U+53EA	只	zhī,zhǐ
U+53ED	叭	bā
U+53F2	史	shǐ
U+592E	央	yāng
U+5144	兄	xiōng
U+53FD	叽	jī
U+53FC	叼	diāo
U+53EB	叫	jiào
U+53E9	叩	kòu
U+53E8	叨	dāo,dáo,tāo
U+53E6	另	lìng
U+53F9	叹	tàn
U+5189	冉	rǎn
U+76BF	皿	mǐn
U+51F9	凹	āo
U+56DA	囚	qiú
U+56DB	四	sì
U+751F	生	shēng
U+77E2	矢	shǐ
U+5931	失	shī
U+4E4D	乍	zhà
U+79BE	禾	hé
U+4E18	丘	qiū
U+4ED8	付	fù
U+4ED7	仗	zhàng
U+4EE3	代	dài
U+4ED9	仙	xiān
U+4EEC	们	mén,men
U+4EEA	仪	yí
U+767D	白	bái
U+4ED4	仔	zǎi,zǐ
U+4ED6	他	tā
U+65A5	斥	chì
U+74DC	瓜	guā
U+4E4E	乎	hū
U+4E1B	丛	cóng
U+4EE4	令	líng,lǐng,lìng
U+7528	用	yòng
U+7529	甩	shuǎi
U+5370	印	yìn
U+5C14	尔	ěr
U+4E50	乐	lè,yuè
U+53E5	句	gōu,jù
U+5306	匆	cōng
U+518C	册	cè
U+536F	卯	mǎo
U+72AF	犯	fàn
U+5916	外	wài
U+5904	处	chǔ,chù
U+51AC	冬	dōng
U+9E1F	鸟	niǎo
U+52A1	务	wù
U+5305	包	bāo
U+9965	饥	jī
U+4E3B	主	zhǔ
U+5E02	市	shì
U+7ACB	立	lì
U+51AF	冯	féng
U+7384	玄	xuán
U+95EA	闪	shǎn
U+5170	兰	lán
U+534A	半	bàn
U+6C41	汁	zhī
U+6C47	汇	huì
U+5934	头	tóu
U+6C49	汉	hàn
U+5B81	宁	níng,nìng
U+7A74	穴	xué
U+5B83	它	tā
U+8BA8	讨	tǎo
U+5199	写	xiě
U+8BA9	让	ràng
U+793C	礼	lǐ
U+8BAD	训	xùn
U+8BAE	议	yì
U+5FC5	必	bì
U+8BAF	讯	xùn
U+8BB0	记	jì
U+6C38	永	yǒng
U+53F8	司	sī
U+5C3C	尼	ní
U+6C11	民	mín
U+5F17	弗	fú
U+5F18	弘	hóng
U+51FA	出	chū
U+8FBD	辽	liáo
U+5976	奶	nǎi
U+5974	奴	nú
U+53EC	召	shào,zhào
U+52A0	加	jiā
U+76AE	皮	pí
U+8FB9	边	biān
U+5B55	孕	yùn
U+53D1	发	fā,fà
U+5723	圣	shèng
U+5BF9	对	duì
U+53F0	台	tāi,tái
U+77DB	矛	máo
U+7EA0	纠	jiū
U+6BCD	母	mǔ
U+5E7C	幼	yòu
U+4E1D	丝	sī
U+90A6	邦	bāng
U+5F0F	式	shì
U+8FC2	迂	yū
U+5211	刑	xíng
U+620E	戎	róng
U+52A8	动	dòng
U+625B	扛	gāng,káng
U+5BFA	寺	sì
U+5409	吉	jí
U+6263	扣	kòu
U+8003	考	kǎo
U+6258	托	tuō
U+8001	老	lǎo
U+5DE9	巩	gǒng
U+573E	圾	jī
U+6267	执	zhí
U+6269	扩	kuò
U+626B	扫	sǎo,sào
U+5730	地	de,dì
U+573A	场	cháng,chǎng
U+626C	扬	yáng
U+8033	耳	ěr
U+828B	芋	yù
U+5171	共	gòng
U+8292	芒	máng
U+4E9A	亚	yà
U+829D	芝	zhī
U+673D	朽	xiǔ
U+6734	朴	piáo,pò,pǔ
U+673A	机	jī
U+6743	权	quán
U+8FC7	过	guō,guò
U+81E3	臣	chén
U+540F	吏	lì
U+518D	再	zài
U+534F	协	xié
U+897F	西	xī
U+538B	压	yā,yà
U+538C	厌	yàn
U+620C	戌	qu,xū
U+5728	在	zài
U+767E	百	bǎi
U+6709	有	yǒu
U+5B58	存	cún
U+800C	而	ér
U+9875	页	yè
U+5320	匠	jiàng
U+5938	夸	kuā
U+593A	夺	duó
U+7070	灰	huī
U+8FBE	达	dá
U+5217	列	liè
U+6B7B	死	sǐ
U+6210	成	chéng
U+5939	夹	gā,jiā,jiá
U+5937	夷	yí
U+8F68	轨	guǐ
U+90AA	邪	xié
U+5C27	尧	yáo
U+5212	划	huá,huà
U+8FC8	迈	mài
U+6BD5	毕	bì
U+81F3	至	zhì
U+6B64	此	cǐ
U+8D1E	贞	zhēn
U+5E08	师	shī
U+5C18	尘	chén
U+5C16	尖	jiān
U+52A3	劣	liè
U+5149	光	guāng
U+5F53	当	dāng,dàng
U+65E9	早	zǎo
U+5401	吁	xū,yū,yù
U+5410	吐	tǔ,tù
U+5413	吓	hè,xià
U+866B	虫	chóng
U+66F2	曲	qū,qǔ
U+56E2	团	tuán
U+5415	吕	lǚ
U+540C	同	tóng,tòng
U+540A	吊	diào
U+5403	吃	chī
U+56E0	因	yīn
U+5438	吸	xī
U+5417	吗	má,mǎ,ma
U+5406	吆	yāo
U+5C7F	屿	yǔ
U+5C79	屹	yì
U+5C81	岁	suì
U+5E06	帆	fān
U+56DE	回	huí
U+5C82	岂	qǐ
U+5219	则	zé
U+521A	刚	gāng
U+7F51	网	wǎng
U+8089	肉	ròu
U+5E74	年	nián
U+6731	朱	zhū
U+5148	先	xiān
U+4E22	丢	diū
U+5EF7	廷	tíng
U+820C	舌	shé
U+7AF9	竹	zhú
U+8FC1	迁	qiān
U+4E54	乔	qiáo
U+8FC4	迄	qì
U+4F1F	伟	wěi
U+4F20	传	chuán,zhuàn
U+4E52	乒	pīng
U+4E53	乓	pāng
U+4F11	休	xiū
U+4F0D	伍	wǔ
U+4F0F	伏	fú
U+4F18	优	yōu
U+81FC	臼	jiù
U+4F10	伐	fá
U+5EF6	延	yán
U+4EF2	仲	zhòng
U+4EF6	件	jiàn
U+4EFB	任	rén,rèn
U+4F24	伤	shāng
U+4EF7	价	jià,jie
U+4F26	伦	lún
U+4EFD	份	fèn
U+534E	华	huá,huà
U+4EF0	仰	yǎng
U+4EFF	仿	fǎng
U+4F19	伙	huǒ
U+4F2A	伪	wěi
U+81EA	自	zì
U+4F0A	伊	yī
U+8840	血	xiě,xuè
U+5411	向	xiàng
U+4F3C	似	shì,sì
U+540E	后	hòu
U+884C	行	háng,héng,xíng
U+821F	舟	zhōu
U+5168	全	quán
U+4F1A	会	huì,kuài
U+6740	杀	shā
U+5408	合	gě,hé
U+5146	兆	zhào
U+4F01	企	qǐ
U+4F17	众	zhòng
U+7237	爷	yé
U+4F1E	伞	sǎn
U+521B	创	chuāng,chuàng
U+808C	肌	jī
U+808B	肋	lèi
U+6735	朵	duǒ
U+6742	杂	zá
U+5371	危	wēi
U+65EC	旬	xún
U+65E8	旨	zhǐ
U+65ED	旭	xù
U+8D1F	负	fù
U+5308	匈	xiōng
U+540D	名	míng
U+5404	各	gè
U+591A	多	duō
U+4E89	争	zhēng
U+8272	色	sè,shǎi
U+58EE	壮	zhuàng
U+51B2	冲	chōng,chòng
U+5986	妆	zhuāng
U+51B0	冰	bīng
U+5E84	庄	zhuāng
U+5E86	庆	qìng
U+4EA6	亦	yì
U+5218	刘	liú
U+9F50	齐	qí
U+4EA4	交	jiāo
U+8863	衣	yī
U+6B21	次	cì
U+4EA7	产	chǎn
U+51B3	决	jué
U+4EA5	亥	hài
U+5145	充	chōng
U+5984	妄	wàng
U+95ED	闭	bì
U+95EE	问	wèn
U+95EF	闯	chuǎng
U+7F8A	羊	yáng
U+5E76	并	bīng,bìng
U+5173	关	guān
U+7C73	米	mǐ
U+706F	灯	dēng
U+5DDE	州	zhōu
U+6C57	汗	hán,hàn
U+6C61	污	wū
U+6C5F	江	jiāng
U+6C5B	汛	xùn
U+6C60	池	chí
U+6C5D	汝	rǔ
U+6C64	汤	tāng
U+5FD9	忙	máng
U+5174	兴	xīng,xìng
U+5B87	宇	yǔ
U+5B88	守	shǒu
U+5B85	宅	zhái
U+5B57	字	zì
U+5B89	安	ān
U+8BB2	讲	jiǎng
U+8BB3	讳	huì
U+519B	军	jūn
U+8BB6	讶	yà
U+8BB8	许	xǔ
U+8BB9	讹	é
U+8BBA	论	lún,lùn
U+8BBC	讼	sòng
U+519C	农	nóng
U+8BBD	讽	fěng
U+8BBE	设	shè
U+8BBF	访	fǎng
U+8BC0	诀	jué
U+5BFB	寻	xún
U+90A3	那	nā,nà
U+8FC5	迅	xùn
U+5C3D	尽	jǐn,jìn
U+5BFC	导	dǎo
U+5F02	异	yì
U+5F1B	弛	chí
U+5B59	孙	sūn
U+9635	阵	zhèn
U+9633	阳	yáng
U+6536	收	shōu
U+9636	阶	jiē
U+9634	阴	yīn
U+9632	防	fáng
U+5978	奸	jiān
U+5982	如	rú
U+5987	妇	fù
U+5983	妃	fēi
U+597D	好	hǎo,hào
U+5979	她	tā
U+5988	妈	mā
U+620F	戏	xì
U+7FBD	羽	yǔ
U+89C2	观	guān,guàn
U+6B22	欢	huān
U+4E70	买	mǎi
U+7EA2	红	hóng
U+9A6E	驮	duò,tuó
U+7EA4	纤	qiàn,xiān
U+9A6F	驯	xùn
U+7EA6	约	yāo,yuē
U+7EA7	级	jí
U+7EAA	纪	jǐ,jì
U+9A70	驰	chí
U+7EAB	纫	rèn
U+5DE1	巡	xún
U+5BFF	寿	shòu
U+5F04	弄	lòng,nòng
U+9EA6	麦	mài
U+7396	玖	jiǔ
U+739B	玛	mǎ
U+5F62	形	xíng
U+8FDB	进	jìn
U+6212	戒	jiè
U+541E	吞	tūn
U+8FDC	远	yuǎn
U+8FDD	违	wéi
U+97E7	韧	rèn
U+8FD0	运	yùn
U+6276	扶	fú
U+629A	抚	fǔ
U+575B	坛	tán
U+6280	技	jì
U+574F	坏	huài
U+62A0	抠	kōu
U+6270	扰	rǎo
U+627C	扼	è
U+62D2	拒	jù
U+627E	找	zhǎo
U+6279	批	pī
U+5740	址	zhǐ
U+626F	扯	chě
U+8D70	走	zǒu
U+6284	抄	chāo
U+8D21	贡	gòng
U+6C5E	汞	gǒng
U+575D	坝	bà
U+653B	攻	gōng
U+8D64	赤	chì
U+6298	折	shé,zhē,zhé
U+6293	抓	zhuā
U+6273	扳	bān
U+62A1	抡	lūn
U+626E	扮	bàn
U+62A2	抢	qiāng,qiǎng
U+5B5D	孝	xiào
U+574E	坎	kǎn
U+5747	均	jūn
U+6291	抑	yì
U+629B	抛	pāo
U+6295	投	tóu
U+575F	坟	fén
U+5751	坑	kēng
U+6297	抗	kàng
U+574A	坊	fāng,fáng
U+6296	抖	dǒu
U+62A4	护	hù
U+58F3	壳	ké,qiào
U+5FD7	志	zhì
U+5757	块	kuài
U+626D	扭	niǔ
U+58F0	声	shēng
U+628A	把	bǎ,bà
U+62A5	报	bào
U+62DF	拟	nǐ
U+5374	却	què
U+6292	抒	shū
U+52AB	劫	jié
U+8299	芙	fú
U+829C	芜	wú
U+82C7	苇	wěi
U+82BD	芽	yá
U+82B1	花	huā
U+82B9	芹	qín
U+82A5	芥	gài,jiè
U+82AC	芬	fēn
U+82CD	苍	cāng
U+82B3	芳	fāng
U+4E25	严	yán
U+82A6	芦	lú,lǔ
U+82AF	芯	xīn,xìn
U+52B3	劳	láo
U+514B	克	kè
U+82AD	芭	bā
